Sr. No.,Symbol,ISIN,Security Name,Overall Permitted Qty. Across All Segments,Memberwise Permitted Qty for CM Segment,
333,INDHOTEL,INE053A01029,The Indian Hotels Company Limited,176174897,N.A,
334,INDIACEM,INE383A01012,The India Cements Limited,15494511,N.A,
335,INDIAGLYCO,INE560A01023,India Glycols Limited,5411782,N.A,
336,INDIAMART,INE933S01016,Indiamart Intermesh Limited,6113554,N.A,
337,INDIANB,INE562A01011,Indian Bank,70482876,N.A,
338,INDIASHLTR,INE922K01024,India Shelter Finance Corporation Limited,11411319,N.A,
339,INDIGO,INE646L01027,InterGlobe Aviation Limited,45176150,N.A,
340,INDIGOPNTS,INE09VQ01012,Indigo Paints Limited,4397809,N.A,
341,INDRAMEDCO,INE681B01017,Indraprastha Medical Corporation Limited,8984000,N.A,
342,INDUSINDBK,INE095A01012,IndusInd Bank Limited,125084423,N.A,
343,INDUSTOWER,INE121J01017,Indus Towers Limited,256996180,N.A,
344,INFY,INE009A01021,Infosys Limited,640478547,N.A,
345,INGERRAND,INE177A01018,Ingersoll Rand (India) Limited,1578400,N.A,
346,INOXGREEN,INE510W01014,Inox Green Energy Services Limited,35234951,N.A,
347,INOXINDIA,INE616N01034,INOX India Limited,4563243,N.A,
348,INOXWIND,INE066P01011,Inox Wind Limited,192944944,N.A,
349,INTELLECT,INE306R01017,Intellect Design Arena Limited,19630138,N.A,
350,INTERARCH,INE00M901018,Interarch Building Solutions Limited,1360738,N.A,
351,IOB,INE565A01014,Indian Overseas Bank,291220299,N.A,
352,IOC,INE242A01010,Indian Oil Corporation Limited,1369807723,N.A,
353,IOLCP,INE485C01029,IOL Chemicals and Pharmaceuticals Limited,22145502,N.A,
354,IONEXCHANG,INE570A01022,ION Exchange (India) Limited,17099112,N.A,
355,IPCALAB,INE571A01038,IPCA Laboratories Limited,28047349,N.A,
356,IRB,INE821I01022,IRB Infrastructure Developers Limited,1671799608,N.A,
357,IRCON,INE962Y01021,Ircon International Limited,65517470,N.A,
358,IRCTC,INE335Y01020,Indian Railway Catering And Tourism Corporation Limited,60165566,N.A,
359,IREDA,INE202E01016,Indian Renewable Energy Development Agency Limited,158681548,N.A,
